Zitat,Name,Position,Jahr,Anlass
"In Zukunft könnte es Computer geben, die weniger als 1,5 Tonnen wiegen.",Die Zeitschrift Popular Mechanics,,1949,
"Ich denke, es gibt weltweit \neinen Markt für vielleicht fünf Computer.",Thomas J. Watson,Vorsitzender von IBM,1943,
The internet is just \na hype.,Bill Gates,Gründer von Microsoft,1993,
"Datenverarbeitung ist eine Modeerscheinung, die das Jahr nicht überdauern wird.",ein amerikanischer Verleger,,1957,
"Sobald ich eine sinnvolle Anwendung für einen Computer finde, werde ich mir einen besorgen.",Ken Olsen,Gründer und Präsident der Digital Equipment Corporation,1977,
"Es gibt keinen Grund, weshalb jemand einen Computer für zu Hause haben sollte.",Ken Olsen,Gründer und Präsident der Digital Equipment Corporation,1977,
640 Kilobyte sind genug für jeden.,Bill Gates,Gründer von Microsoft,1981,
"Computers are useless, they only can give answers.",Pablo Picasso,,1946,
What the hell is it \ngood for?!,Robert Lloyd,Engineer at IBM,1968,about microprocessors
"Es scheint, dass wir die \nGrenzen dessen erreicht haben, was mit Computer-Technologie möglich ist.",John von Neumann,Mathematiker,1949,
Einkäufe per Computer werden niemals die Freuden des persönlichen Einkaufens ersetzen können.,John Naisbitt,Autor,,
Dafür hat die amerikanische Durchschnittsfamilie keine Zeit.,The New York Times,,1939,über die erste kommerzielle TV-Sendung
Wer braucht eigentlich diese Silberscheibe?,Jan Timmer,Phillips-Vorstand,1982,zur Compact Disc
"Es gibt nichts Neues mehr. \nAlles, was man erfinden kann, ist schon erfunden worden.",Charles H. Duell,US-Patentamt,1899,
Die drahtlose Musikbox hat keinen denkbaren kommerziellen Wert.,David Sarnoff,Unternehmer,1920er,Rückmeldung zur Investition in das Radio
Facebook - das ist \ndoch nur ein Verzeichnis im Web.,Rupert Murdoch,Medienmogul,2008,
"Aus dem iPad wird nichts, Netbooks gehört die Zukunft.",Bill Gates,Gründer von Microsoft,2010,
E-Mails sind ein absolut unverkaufbares Produkt.,Ian Sharp,Sharp Associates,1979,
"Wer hat jemals davon gehört, dass die US-Regierung die Informationen missbraucht hat?",Larry Ellison,Oracle,2013,zum Überwachungsskandal
Cloud Computing? \nEine verrückte Modeerscheinung!,Larry Ellison,Oracle,2008,
In zehn Jahren ist Google tot.,Christian DuMont Schütte,Gesellschafter des Verlags DuMont Schauberg,2007,
Schon 1977 wird es einen perfekten Übersetzungscomputer mit korrekter Grammatik geben.,amerikanische Trendstudie,,1966,
In zwei Jahren wird \ndas Spam-Problem gelöst sein.,Bill Gates,Gründer von Microsoft,2004,
"Online-Banking ist ein Segen, aber nur für Geheimdienste und für Kriminelle.",Hans Magnus Enzensberger,Autor,2014,
"Ihre Privatsphäre gibt es nicht mehr, finden Sie sich damit ab.",Scott McNealy,Chef von Sun Microsystems,1999,
Die Virenproblematik ist nur ein temporäres Phänomen und wird in ein paar Jahren verschwunden sein.,John McAfee,Gründer von McAfee,1988,
"Ich sage voraus, dass sich das Internet bald zu einer Supernova aufbläht und 1996 katastrophal kollabieren wird.",Robert Metcalfe,Erfinder des Ethernets,1995,
Das Internet? Gibt's diesen Blödsinn immer noch?,Homer J. Simpson,Sicherheitsinspektor des Kernkraftwerks Springfield,1999,
"Die Datenautobahn wird zum wichtigsten Werkzeug der Demokratie, das jemals erfunden wurde.",Bill Gates,Gründer von Microsoft,,
Zur Jahrhundertwende werden wir in einer papierlosen Gesellschaft leben.,Roger Smith,General Motors,1986,
"Das Internet ist eine Spielerei für Computerfreaks, wir sehen darin keine Zukunft.",Ron Sommer,Telekom-Chef,1990,
"In diesem Jahrtausend wird es zwei Arten von Geschäften geben: Die im Internet und die, die es nicht gibt.",Bill Gates,Gründer von Microsoft,,
"Die Märkte erlauben uns, Dinge mit Informationen zu tun, die wir niemals haben tun können.",Gus Hunt,Cheftechniker der CIA,2011,
Jede hinreichend fortgeschrittene Technologie ist von Magie nicht mehr zu unterscheiden.,Arthur C. Clarke,Physiker und Autor,1973,aus »Profiles of the Future«
2045 wird artifizielle Intelligenz die menschliche überholen.,Ray Kurzweil,Director of Engineering bei Google,2014,
Auf Dauer werde der Mensch ohne Körper existieren und als reine Software unsterblich.,Ray Kurzweil,Director of Engineering bei Google,1999,aus »homo s@piens«
"Die viereckigen Kisten, die wir heute mit uns rumtragen, werden im Jahr 2010 verschwunden sein.",Ray Kurzweil,Director of Engineering bei Google,1999,aus »homo s@piens«
"Die erste ultra-intelligente Maschine ist die letzte Erfindung, die der Mensch überhaupt noch machen muss.",Irving John Good,Statistiker,1965,
Das Internet ist für uns alle Neuland.,Angela Merkel,Bundeskanzlerin,2013,
"Ausbildung, Studium und Arbeit erfolgen 2050 überwiegend über das Netz.",Fraunhofer ISIT,,2014,
"Ob in der Wohnung, am Arbeitsplatz oder unterwegs, \nder Mensch ist 2050 permanent mit dem Internet verbunden.",Fraunhofer ISIT,,2014,
"Einst lebten wir auf dem Land, dann in Städten und von jetzt an im Netz.",Mark Zuckerberg,Gründer von Facebook,2010,
Bald kommt die Technik ohne uns aus.,Manfred Hinrich,Philosoph,,
"Der technische Fortschritt bietet uns die Möglichkeit, den Lebensstandard jedes Menschen auf der Erde deutlich zu verbessern.",Peter H. Diamandis und Steven Kotler,Forscher und Autoren,2013,
"Ich fürchte, dass ich zur letzten Generation gehöre, die noch sterben muss.",Gerald Sussman,Informatiker,2013,
"Wer sagt, dass wir nicht tausend Jahre leben können, dass Autos nicht fliegen können?",Sebastian Thrun,Gründer des Google X Labors,2014,
"Der technologische Wandel wird so schnell sein, dass das menschliche Leben unwiderrufbar verwandelt wird.",Ray Kurzweil,Director of Engineering bei Google,2005,aus »Menschheit 2.0«
Sex und Liebe mit Robotern sind unvermeidlich.,David Levy,Schachmeister und Computer-Experte,2007,
"Der Computer der Zukunft ist eine elektronische Wolke, die ihren Besitzer umgibt.",Konrad Lischka,Journalist,2001,aus »De:Bug 45«
"In zehn Jahren dürfte die reguläre Rentnerwohnung mit einem Roboter ausgestattet sein, der soziale und medizinische Funktionen in sich vereint.",Anton Waldt,Journalist,2002,aus »De:Bug 55«
"Die Kommunikation wird sich durch die Smartwatch stark verändern, sie wird emotionaler und schneller.",Lasse Lüders,"Geschäftsführer von Appmotion, Hamburg",2015,
The processing capacity of chips doubles every 18 months with no change in costs.,Moore´s law,,1965,
The amount of information people share on the internet doubles every 12 months.,Mark Zuckerberg,Gründer von Facebook,2008,
"Internet? Das hatten wir auch mal, aber es hat uns nicht gefallen.",Tommy Jaud,Autor,2010,aus »Hummeldumm«
We must put a million people on Mars if we are to ensure that humanity has a future.,Elon Musk,Unternehmer,2014,
"If you look at our current technology level, something \nstrange has to happen to civilisations, and I mean strange in a bad way.",Elon Musk,Unternehmer,2014,
Ethics change with technology.,Larry Niven,science fiction author,2002,
"The real danger is not that computers will begin to think like men, but that men will begin to think like computers.",Sydney J. Harris,Journalist,,
"In the future, human-\ndriven cars may be illegal.",Elon Musk,Unternehmer,2015,
"Whenever a new technology \nis introduced into society, there must be a counterbalancing human response.",John Naisbitt,Author,1982,aus »Megatrends«

