"Wenn ich groß bin, möchte ich ein fliegendes Auto haben.",Luc,,2015,comment
Kein Computer wird meine Intelligenz übertreffen.,Max,,2015,comment
Das Nokia 3510 wird wiederkommen.,Erika,,2015,comment
2015 wird es das schwebende Skateboard geben.,Marty,,1985,comment
Mark Zuckerberg übernimmt in naher Zukunft den indischen internetmarkt!,Zeit online,,2015,comment
Was ist ist - Was nicht ist ist möglich,Blixa Bargeld,,2015,comment
Mark Zuckerberg übernimmt bald den indischen Internetmarkt!,Zeit Online,,2015,comment
Das internet ist nur ein hype!,Horst,,2015,comment
Alles wird supi,Дани,,2015,comment
Bier für alle,Lille,,2015,comment
Technology is only means not end.,Wu,,2015,comment
hallo barbara!,Frau w aus k,,2015,comment
huuhuuu barbara,Frau w aus k,,2015,comment
Augmented Reality wird unser Leben nachhaltig ändern. In 5 Jahren gehören Informationen die ins Sichtfeld projiziert werden zum Alltag.,Jan Ericsson,,2015,comment
Morgen wird alles besser!,jQuery111208596996639389545_1437744293568?,,2015,comment
Andreas lieblingsgetränk ist der gin basil smash,Ein Besucher,,2015,comment
Manuel ist toll,Will nicht erkannt werden,,2015,comment
Mal schauen ob ich mich anmelden kann...,Test,,2015,comment
"Kinder, was für ein Quatsch...",GT,,2015,comment
Neugier und Kreativität ist nicht nur ein Treibmittel,😊,,2015,comment
"Zukunft, am besten ohne smartphone",Ein Besucher,,2015,comment
Schöne bunte Welt 😊,Lutz,,2015,comment
Schöne bunte Welt!,Lutz,,2015,comment
Roboter. Gefühle. Gefahr.,Melanie,,2015,comment
Roboter. Gefühle. Gefahr.,Melanie,,2015,comment
jdkvhd kdhjjd jhshjd,hspbdkv,,2015,comment
hello world! This works on windows too!,test user,,2015,comment
cjgshjh Hau JS hat heute Geburtstag hat sich der,hspbdbsby,,2015,comment
kein kommentar,lsdlsjdlkjslskjlk,,2015,comment
kein Kommentar,,,2015,comment
kein Kommentar als kein Besucher,Ein Besucher,,2015,comment
jhkjhkhkjhkjhkjkjhkjjkjhkjh,Ein Besucher,,2015,comment
laskdlkjsd lkjasdlkjasldkj asd,Ein Besucher,,2015,comment
